Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,NIL_numeric,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,DBPR_score,OBPR_score,BPR_score,COMP_score,composite_score,score_source,tier
5.0,Milan Momcilovic,PF,JR,6-8,210.0,"Pewaukee, WI",97.0,95.82,$2M,4/12/2026,2000000.0,34.0,Iowa State,6.06,2.45,8.5,1926.0,6.69,0.8,7.49,123.0,87.5,35.6,77.16894977168951,100.0,100.0,100.0,90.86757990867581,Full Metrics,Tier 1
6.0,Tounde Yessoufou,SF,FR,6-5,210.0,"Santa Maria, CA",96.0,98.27,$1.4M,4/21/2026,1400000.0,220.0,Baylor,3.09,1.99,5.08,1882.0,3.76,2.47,6.23,116.9,103.2,13.7,70.16742770167428,70.32967032967034,72.5521669341894,66.5137614678899,70.13688627010868,Full Metrics,Tier 1
7.0,Allen Graves,PF,RS-FR,6-9,225.0,"Ponchatoula, LA",96.0,,,4/10/2026,,58.0,Santa Clara,5.58,2.07,7.64,1334.0,6.75,3.31,10.05,122.6,104.6,18.0,71.38508371385083,95.20479520479522,93.09791332263242,73.08868501529051,81.9381177035592,Full Metrics,Tier 1
86.0,Hamad Mousa,SG,SO,6-8,200.0,Doha,93.0,,$423K,4/08/2026,423000.0,936.0,Cal Poly,2.68,-0.6,2.08,1798.0,3.31,-0.04,3.26,107.5,112.4,-4.9,30.745814307458147,66.23376623376625,48.47512038523274,38.07339449541284,44.262800532783295,Full Metrics,Tier 1
253.0,David Fuchs,PF,JR,6-9,245.0,Vienna,93.0,,,4/10/2026,,993.0,San Francisco,1.0,0.89,1.89,1141.0,2.23,0.67,2.9,105.7,105.3,0.3,53.42465753424658,49.45054945054946,46.950240770465484,46.02446483180427,50.02621825519974,Full Metrics,Tier 1
79.0,Tijan Saine Jr.,PG,RS-JR,5-10,175.0,"Everett, WA",93.0,,,3/30/2026,,834.0,Weber State,3.71,-1.28,2.43,1756.0,4.46,-0.65,3.81,107.0,112.9,-5.9,20.395738203957386,76.52347652347653,51.28410914927768,36.544342507645254,43.02763761845441,Full Metrics,Tier 1
191.0,Robert Miller III,PF,SO,6-10,225.0,"Houston, TX",93.0,94.47,,4/10/2026,,415.0,LSU,1.08,2.89,3.97,1020.0,0.84,3.22,4.06,111.8,103.4,8.4,83.86605783866058,50.24975024975026,63.64365971107544,58.409785932721704,67.59906053002514,Full Metrics,Tier 1
409.0,Christian Bliss,SG,RS-SO,6-4,205.0,"Brooklyn, NY",92.0,89.42,Expected,,,1044.0,Delaware,1.77,-0.03,1.74,1920.0,2.68,0.87,3.55,100.6,113.2,-12.6,39.42161339421614,57.14285714285715,45.74638844301765,26.299694189602445,43.14859146044464,Full Metrics,Tier 1
139.0,Cayden Charles,SG,SR,6-3,185.0,"Kennesaw, GA",92.0,,,4/11/2026,,681.0,Saint Bonaventure,2.19,0.67,2.86,1881.0,2.53,1.33,3.86,111.6,108.0,3.6,50.076103500761036,61.338661338661346,54.73515248796147,51.0703363914373,53.97268769127764,Full Metrics,Tier 1
134.0,Vyctorius Miller,SG,SO,6-5,170.0,"North Hollywood, CA",92.0,95.11,$272K,4/07/2026,272000.0,650.0,Oklahoma State,2.37,0.6,2.97,1516.0,2.18,0.96,3.14,114.1,106.2,7.9,49.010654490106546,63.13686313686314,55.61797752808988,57.64525993883792,55.15886207670208,Full Metrics,Tier 1
