Portal_Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered,Ratings_Rank,Team,OBPR,DBPR,BPR,Poss,Box_OBPR,Box_DBPR,Box_BPR,Adj_Team_Off_Eff,Adj_Team_Def_Eff,Adj_Team_Eff_Margin,tier,score_source,composite_score
,Vincent Iwuchukwu,C,SR,6-11,220.0,"San Antonio, TX",,97.39,,4/20/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Isaiah Miranda,PF,SR,7-1,205.0,"Pawtucket, RI",,96.33,,4/17/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Niko Bundalo,PF,FR,6-10,205.0,"Uniontown, OH",,96.27,,4/21/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Sam Walters,PF,JR,6-9,180.0,"The Villages, FL",,94.32,,4/02/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Papa Kante,C,JR,6-10,225.0,"South Kent, CT",,93.49,,4/09/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Dylan Anderson,PF,RS-JR,7-0,215.0,"Gilbert, AZ",,93.03,,4/09/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Jordan Butler,PF,JR,7-0,240.0,"Greenville, SC",,92.91,,3/23/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Emmanuel Stephen,C,SO,7-0,215.0,"Glendale, AZ",,92.83,,4/07/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Macaleab Rich,PF,JR,6-7,225.0,"East St. Louis, IL",,91.69,,4/14/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Jack McCaffery,PF,FR,6-8,200.0,"Iowa City, IA",,91.23,,3/17/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Kebba Njie,PF,SR,6-10,237.0,"La Porte, IN",,90.07,,4/09/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Jevon Porter,PF,SR,6-11,230.0,"Columbia, MO",,88.69,,4/19/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Steven Solano,C,SO,6-11,230.0,"Virginia Beach, VA",,88.00,,4/08/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Cameron Barnes,PF,JR,6-10,210.0,"Dallas, TX",,87.67,,4/17/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Godswill Erheriene,C,SO,6-9,225.0,"Glen Head, NY",,87.16,,4/07/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Amdy Ndiaye,PF,SO,6-9,205.0,"Glen Head, NY",,86.17,,4/16/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Gai Chol,C,JR,7-0,235.0,"Decatur, GA",,86.17,Expected,,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Sam Murray,PF,SR,6-7,190.0,"Gulfport, MS",,85.92,,4/15/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Emeka Opurum,C,SO,7-0,200.0,Lagos,,85.86,,4/22/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Devin Curtis,PF,JR,6-11,210.0,"Northridge, CA",,85.53,,4/08/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Justin Houser,C,FR,6-11,,"Camp Hill, PA",,85.33,,4/09/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Stephen Osei,C,SO,6-9,200.0,"Toronto, ON",,85.28,,3/30/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Jarred Hall,PF,JR,6-7,190.0,"Lebanon, TN",,85.17,,4/21/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Isaiah Manning,PF,RS-SO,6-7,200.0,"Mansfield, TX",,85.05,Expected,,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Maurice Vassel,PF,SO,6-9,160.0,"Bronx, NY",,84.75,,4/07/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Braden Pierce,C,JR,7-0,230.0,"Woodstock, GA",,84.35,,4/08/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Dennis Scott,PF,SO,6-8,,"Atlanta, GA",,83.55,,4/09/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Gavin Marrs,PF,JR,6-11,200.0,"Ellensburg, WA",,83.50,Expected,,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Christian Nitu,PF,SO,6-11,200.0,"Toronto, ON",,83.50,,4/09/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
,Donovan Raymond,PF,JR,6-9,205.0,"Charlotte, NC",,83.28,,4/07/2026,,,,,,,,,,,,,Tier 3 - Development,Physical Profile Only,
