Rank,Name,Position,Year,Height,Weight,Hometown,ON3 Rating,IND Comparison,NIL Value,Date Entered
5,Milan Momcilovic,PF,JR,6-8,210,"Pewaukee, WI",97,95.82,$2M,4/12/2026
6,Tounde Yessoufou,SF,FR,6-5,210,"Santa Maria, CA",96,98.27,$1.4M,4/21/2026
7,Allen Graves,PF,RS-FR,6-9,225,"Ponchatoula, LA",96,,4/10/2026
86,Hamad Mousa,CG,SO,6-8,200,Doha,93,,$423K,4/08/2026
253,David Fuchs,PF,JR,6-9,245,Vienna,93,,4/10/2026
79,Tijan Saine Jr.,PG,RS-JR,5-10,175,"Everett, WA",93,,3/30/2026
191,Robert Miller III,PF,SO,6-10,225,"Houston, TX",93,94.47,4/10/2026
409,Christian Bliss,CG,RS-SO,6-4,205,"Brooklyn, NY",92,89.42,Expected
139,Cayden Charles,SG,SR,6-3,185,"Kennesaw, GA",92,,4/11/2026
134,Vyctorius Miller,SG,SO,6-5,170,"North Hollywood, CA",92,95.11,$272K,4/07/2026
226,Quadir Martin,PF,SO,6-5,215,"Staten Island, NY",92,,Expected
221,Mihailo Petrovic,PG,FR,6-3,,Belgrade,91,,4/11/2026
223,Daeshun Ruffin,PG,RS-SR,5-9,160,"Jackson, MS",91,,Expected
341,Sebastian Mack,SG,JR,6-3,195,"Chicago, IL",90,94.58,4/01/2026
,Jeremy Dent-Smith,CG,SR,6-1,195,"Gardena, CA",90,,4/10/2026
,Ryan Blount,SF,SO,6-6,205,"Oviedo, FL",90,,Expected
,Jan Vide,CG,JR,6-6,200,Domzale,90,,4/01/2026
,Mayar Wol,PF,JR,6-8,175,"Fuquay Varina, NC",90,86.88,Expected
,Ja'Quay Randolph,C,JR,6-10,240,"Tallahassee, FL",89,,3/17/2026
,Lazerek Houston,PG,FR,6-0,155,"Lincoln, NE",89,,Expected
,Skylar Wicks,SG,JR,6-6,200,"Clearwater, FL",89,,3/27/2026
,Bernie Blunt III,PG,SR,5-11,180,"Morgantown, PA",89,,3/24/2026
,Jaden Winston,SG,JR,6-0,160,"Hyattsville, MD",89,,3/25/2026
,Daquan Davis,PG,SO,6-1,173,"Baltimore, MD",89,92.21,Expected
,Jacoi Hutchinson,PG,JR,6-2,180,"Silver Spring, MD",89,86.03,3/24/2026
,Devin Dinkins,PG,SR,5-10,155,"Washington, DC",89,82.63,3/24/2026
,Anthony Robinson,PF,JR,6-10,230,"Peachtree City, GA",89,82.25,Expected
,Montavious Myrick,PF,SR,6-8,208,"Atlanta, GA",89,,3/26/2026
,Okechukwu Okeke,PF,SR,6-9,235,"East Chicago, IN",89,,3/11/2026
,Brady Swartz,SG,FR,6-7,195,"Grand Rapids, MI",89,,3/19/2026
,JoJo Wallace,SG,SO,6-3,180,"Milford, CT",89,,3/17/2026
,Cayden Ward,SG,SO,6-6,210,"Stockton, CA",89,,Expected
,Sean Logan,PF,SR,6-10,215,"Westfield, NJ",89,,3/20/2026
,JaJuan Nicholls,PF,JR,6-8,220,"Scranton, PA",89,,3/26/2026
,Trevon Payton,SG,RS-JR,6-5,215,"Snellville, GA",89,,Expected
,Marcus Kell,SF,SR,6-8,213,"Rock Hill, SC",89,,3/20/2026
,Trey Simmons,SG,SO,6-1,,"Gaithersburg, MD",88,,Expected
,Robert Davis,SG,JR,6-6,175,"Detroit, MI",88,,3/24/2026
,Justin Payne,SG,SO,5-11,,"Athens, GA",88,,Expected
,Sola Adebisi,SF,SR,6-7,205,"Alpharetta, GA",88,,3/24/2026
,Tre Norman,SG,JR,6-3,175,"Worcester, MA",88,92.63,3/31/2026
,Ruot Bijiek,SF,SR,6-8,185,"West Des Moines, IA",88,,2/24/2026
,Zion Russell,PG,SR,6-0,185,"Upper Marlboro, MD",88,,3/25/2026
,Tybo Bailey,SG,SO,6-3,170,"Mouth Of Wilson, VA",88,88.94,3/30/2026
,Gestin Liberis,PF,JR,6-9,215,"Havertown, PA",88,,3/26/2026
,Jaxon Edwards,SG,SR,6-6,195,"Indianapolis, IN",88,,3/19/2026
,Marqus Mitrovic Marion,PF,RS-SO,6-8,210,Copenhagen,88,84.67,3/26/2026
,Jevon Hill,PF,SR,6-9,190,"Wichita, KS",88,,Expected
,Pedro Santos,SG,RS-FR,6-7,200,Portugal,88,,3/18/2026
,Mike Mora,SG,RS-SO,6-6,210,"Palo Alto, CA",88,,3/11/2026
,Melian Martinez,C,SO,6-9,230,"Cerritos, CA",88,,3/18/2026
,Jack Payne,SG,SR,6-6,195,"Boise, ID",88,,3/23/2026
,Antonio Pusateri,PF,JR,6-7,200,"San Francisco, CA",88,,Expected
,Will Fowler,SG,SO,6-2,,"Greenville, SC",87,,Expected
,Caleb Blackwell,PG,RS-JR,6-1,185,"Buford, GA",87,,Expected
,Jaylen Washington,PG,SO,5-9,155,"Dallas, TX",87,,3/23/2026
,Alfred Worrell,SG,SR,6-4,200,"Silver Spring, MD",87,,Expected
,Camp Wagner,SG,JR,6-6,190,"Dallas, TX",87,,3/18/2026
,Hunter Adam,SG,RS-JR,6-7,225,New Zealand,87,,3/20/2026
,Jahki Howard,SF,SO,6-6,180,"Boston, MA",87,94.05,Expected
,Elijah Elliott,CG,SO,6-2,170,"Orlando, FL",87,83.50,3/18/2026
,Mike Evbagharu,SG,JR,6-4,220,Canada,86,,Expected
,Andrew Ball,SG,RS-SO,6-9,215,"Medford, NJ",86,,3/13/2026
,Joah Chappelle,SF,SO,6-9,185,"Atlanta, GA",86,,3/17/2026
,Reid Ducharme,SG,JR,6-6,180,"Boston, MA",86,92.12,Expected
,Travonne Jackson,CG,RS-JR,6-7,195,"Akron, OH",85,,3/31/2026
,Cameron Tweedy,SF,SR,6-6,220,"Waldorf, MD",85,,Expected
,Always Wright,CG,RS-JR,6-3,175,"Joplin, MO",85,,Expected
,Omar Adegbola,SG,RS-SO,6-4,205,"Houston, TX",85,,Expected
,Tyler Wagner,SG,FR,6-5,175,"Minneapolis, MN",85,,Expected
,Mookie Cook,SF,JR,6-7,200,"Jefferson, OR",,96.58,4/01/2026
,DeShawn Harris-Smith,SG,JR,6-5,205,"Fairfax, VA",,96.44,Expected
,Larry Johnson,SG,SO,6-4,175,"Savannah, GA",,92.63,Expected
,Gabe Cupps,PG,JR,6-2,165,"Dayton, OH",,92.47,Expected
,Kelvin Odih,SG,FR,6-4,190,"South Kent, CT",,90.59,4/15/2026
,Jordan Burks,SF,JR,6-9,180,"Decatur, AL",,87.94,4/23/2026
,Luka Toews,PG,SO,5-11,155,"Boston, MA",,83.00,Expected
,Makaih Williams,CG,JR,6-2,190,"San Juan Capistrano, CA",,,Expected
,Arterio Morris,PG,SR,6-3,190,"Dallas, TX",,98.26,4/03/2026
,Vincent Iwuchukwu,C,SR,6-11,220,"San Antonio, TX",,97.39,4/20/2026
,Ernest Udeh Jr.,C,SR,6-10,250,"Orlando, FL",,97.26,4/22/2026
,Elijah Fisher,SG,SR,6-6,190,"Toronto, ON",,97.19,4/11/2026
,Langston Love,SG,RS-SR,6-4,190,"San Antonio, TX",,96.68,Expected
,Skyy Clark,PG,SR,6-3,200,"Los Angeles, CA",,96.67,4/07/2026
,Isaiah Miranda,PF,SR,7-1,205,"Pawtucket, RI",,96.33,4/17/2026
,Niko Bundalo,PF,FR,6-10,205,"Uniontown, OH",,96.27,4/21/2026
,Seth Trimble,PG,SR,6-3,185,"Menomonee Falls, WI",,96.19,4/20/2026
,Frankie Collins,PG,SR,6-1,180,"Henderson, NV",,95.77,3/27/2026
,Rakease Passmore,SG,SO,6-5,185,"Palatka, FL",,95.72,4/16/2026
,Mikey Williams,SG,RS-SO,6-2,190,"San Diego, CA",,$2.3M,4/16/2026
,Chris Johnson,PG,JR,6-4,180,"Missouri City, TX",,95.33,4/08/2026
,Jamari Phillips,SG,SO,6-4,185,"Modesto, CA",,95.26,4/09/2026
,Aidan Shaw,SF,SR,6-8,195,"Stilwell, KS",,94.77,4/20/2026
,Kamari Lands,SF,SR,6-8,220,"Indianapolis, IN",,94.45,4/09/2026
,Isa Silva,PG,RS-SR,6-4,185,"Napa, CA",,94.38,4/08/2026
,Sam Walters,PF,JR,6-9,180,"The Villages, FL",,94.32,4/02/2026
,Ven-Allen Lubin,PF,SR,6-8,226,"Orlando, FL",,94.08,4/21/2026
,Jalen Washington,PF,SR,6-9,210,"Gary, IN",,94.06,4/21/2026
,Riley Kugel,SG,SR,6-5,185,"Orlando, FL",,93.96,4/21/2026
,Zion Cruz,CG,SR,6-5,175,"Hillside, NJ",,93.80,4/14/2026
,Amaree Abram,CG,SR,6-4,190,"Humble, TX",,93.70,4/22/2026
,Jayden Epps,CG,SR,6-2,195,"Suffolk, VA",,93.58,4/21/2026
,Dan Skillings Jr.,SG,SR,6-5,180,"Philadelphia, PA",,93.58,4/20/2026
,Desmond Claude,PG,SR,6-5,180,"Oakdale, CT",,93.52,4/12/2026
,Papa Kante,C,JR,6-10,225,"South Kent, CT",,93.49,4/09/2026
,Tyler Nickel,SF,SR,6-7,220,"Elkton, VA",,93.44,4/20/2026
,Ty-Laur Johnson,PG,JR,6-0,160,"Newark, NJ",,93.28,Expected
,Austin Nunez,PG,SR,6-2,170,"San Antonio, TX",,93.13,Expected
,Malique Ewin,PF,SR,6-10,220,"Lilburn, GA",,93.05,Expected
,Dylan Anderson,PF,RS-JR,7-0,215,"Gilbert, AZ",,93.03,4/09/2026
,Sencire Harris,CG,RS-JR,6-3,160,"Akron, OH",,93.02,4/07/2026
,Darrion Sutton,SF,SO,6-8,182,"Saint Louis, MO",,92.96,4/07/2026
,Tre Holloman,PG,SR,6-2,175,"Saint Paul, MN",,92.91,4/17/2026
,Jordan Butler,PF,JR,7-0,240,"Greenville, SC",,92.91,3/23/2026
,Emmanuel Stephen,C,SO,7-0,215,"Glendale, AZ",,92.83,4/07/2026
,Miles Goodman,PF,SO,6-11,230,"Seattle, WA",,92.79,Expected
,Denver Anglin,SG,SR,6-2,185,"Montclair, NJ",,92.34,Expected
